"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","1050"
">","THREAD_COUNT:","7"
">","NEEDLE_COUNT:","0"
">","EXTENTS_LEFT:","0"
">","EXTENTS_TOP:","0"
">","EXTENTS_RIGHT:","375"
">","EXTENTS_BOTTOM:","398.0"
">","EXTENTS_WIDTH:","375"
">","EXTENTS_HEIGHT:","398.0"
">","COMMAND_COLOR_CHANGE","7"
">","COMMAND_JUMP","20"
">","COMMAND_STITCH","1022"
">","COMMAND_END","1"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","228","STITCH","184","178.0"
"*","229","STITCH","274","178.0"
"*","230","STITCH","181","180.0"
"*","231","STITCH","263","180.0"
"*","232","STITCH","179","182.0"
"*","233","STITCH","228","182.0"
"*","234","STITCH","176","184.0"
"*","235","STITCH","212","184.0"
"*","236","STITCH","173","186.0"
"*","237","STITCH","192","186.0"
"*","238","STITCH","173","188.0"
"*","239","STITCH","189","188.0"
"*","240","STITCH","167","190.0"
"*","241","STITCH","186","190.0"
"*","242","STITCH","167","194.0"
"*","243","STITCH","174","194.0"
"*","244","STITCH","164","196.0"
"*","245","STITCH","167","196.0"
"*","246","STITCH","148","198.0"
"*","247","STITCH","174","198.0"
"*","248","STITCH","143","200.0"
"*","249","STITCH","147","200.0"
"*","250","STITCH","139","202.0"
"*","251","STITCH","164","202.0"
"*","252","STITCH","140","204.0"
"*","253","STITCH","140","204.0"
"*","254","STITCH","141","206.0"
"*","255","STITCH","165","206.0"
"*","256","STITCH","139","208.0"
"*","257","STITCH","243","208.0"
"*","258","STITCH","124","210.0"
"*","259","STITCH","239","210.0"
"*","260","STITCH","123","212.0"
"*","261","STITCH","237","212.0"
"*","262","STITCH","123","214.0"
"*","263","STITCH","231","214.0"
"*","264","STITCH","120","216.0"
"*","265","STITCH","231","216.0"
"*","266","STITCH","147","218.0"
"*","267","STITCH","227","218.0"
"*","268","STITCH","120","220.0"
"*","269","STITCH","222","220.0"
"*","270","STITCH","119","222.0"
"*","271","STITCH","218","222.0"
"*","272","STITCH","118","224.0"
"*","273","STITCH","216","224.0"
"*","274","STITCH","210","226.0"
"*","275","STITCH","212","226.0"
"*","276","STITCH","206","228.0"
"*","277","STITCH","209","228.0"
"*","278","STITCH","201","230.0"
"*","279","STITCH","205","230.0"
"*","280","STITCH","117","232.0"
"*","281","STITCH","199","232.0"
"*","282","STITCH","180","234.0"
"*","283","STITCH","192","234.0"
"*","284","STITCH","179","236.0"
"*","285","STITCH","179","236.0"
"*","286","STITCH","180","238.0"
"*","287","STITCH","193","238.0"
"*","288","STITCH","117","240.0"
"*","289","STITCH","180","240.0"
"*","290","STITCH","140","242.0"
"*","291","STITCH","171","242.0"
"*","292","STITCH","127","244.0"
"*","293","STITCH","153","244.0"
"*","294","STITCH","117","246.0"
"*","295","STITCH","148","246.0"
"*","296","STITCH","117","248.0"
"*","297","STITCH","149","248.0"
"*","298","STITCH","120","250.0"
"*","299","STITCH","143","250.0"
"*","300","COLOR_CHANGE","143","250.0"
"*","301","JUMP","143","250.0"
"*","302","STITCH","132","110.0"
"*","303","STITCH","132","110.0"
"*","304","STITCH","130","112.0"
"*","305","STITCH","133","112.0"
"*","306","STITCH","130","114.0"
"*","307","STITCH","135","114.0"
"*","308","STITCH","129","116.0"
"*","309","STITCH","136","116.0"
"*","310","STITCH","128","118.0"
"*","311","STITCH","137","118.0"
"*","312","STITCH","121","120.0"
"*","313","STITCH","139","120.0"
"*","314","STITCH","114","122.0"
"*","315","STITCH","139","122.0"
"*","316","STITCH","103","124.0"
"*","317","STITCH","135","124.0"
"*","318","STITCH","93","126.0"
"*","319","STITCH","125","126.0"
"*","320","STITCH","88","128.0"
"*","321","STITCH","148","128.0"
"*","322","STITCH","87","130.0"
"*","323","STITCH","148","130.0"
"*","324","STITCH","93","132.0"
"*","325","STITCH","151","132.0"
"*","326","STITCH","95","134.0"
"*","327","STITCH","150","134.0"
"*","328","STITCH","96","136.0"
"*","329","STITCH","109","136.0"
"*","330","STITCH","110","138.0"
"*","331","STITCH","150","138.0"
"*","332","STITCH","96","140.0"
"*","333","STITCH","136","140.0"
"*","334","STITCH","106","142.0"
"*","335","STITCH","133","142.0"
"*","336","STITCH","97","144.0"
"*","337","STITCH","149","144.0"
"*","338","STITCH","134","146.0"
"*","339","STITCH","152","146.0"
